Hundename,Score,URL,EpiProgeny
"FIN CH Palabras Spacecraft",0.375,"url","Brookhill's Crabman, Rosanan White Gold"
"Pastime's Side-Kick",0.375,"url","Brookhill's Crabman, Rosanan White Gold"
"Tweedshot Estelle",0.375,"url","Brufinn Keep Retrieving Doc, Glengad Dobby, Thorsvi Harris, Vauhti-Noudon Vauhtineito, Willowridge Five Star"
"FTW Hamford Jay",0.375,"url","Brufinn Keep Retrieving Doc, Caper Cailie's Ohio, COSMIC COVER'S WIN CALL TO FIND OUT, Hardrocks Blue Danube, Polarfischer Greg"
"Charly vom Nollbachtal",0.375,"url","Brufinn Keep Retrieving Doc, Flying Flap Ears Duncan, Streamlight's Grappas Dexter"
"Ethusan Frankenstein",0.375,"url","Cannonpowder Penelope, Dark Water's Endless Star"
"Jummi-Jammin Bananarama",0.375,"url","Cannonpowder Penelope, Dark Water's Endless Star"
"Gentle Gilbert's Regal Of Cassata",0.375,"url","Cannonpowder Penelope, Dark Water's Endless Star"
"SE VCH Clown's Nova",0.375,"url","Cannonpowder Penelope, Dark Water's Endless Star"
"Beechcroft's Royal Standard",0.375,"url","Cannonpowder Penelope, Hardscrabble Augusta, Omenalaakson Charles For My Love"
"Dickendall Davaron No Exit",0.375,"url","Cannonpowder Penelope, Fiin Hemuli"
"Ethusan Onneton",0.375,"url","Cannonpowder Penelope, Merjatuulian Wekkuli, NIINIVUOREN KULTA-KUTRI"
"Saxaphone Messenga",0.375,"url","Caper Cailie's Ohio, IVANTHES FIRST PLOPP"
"FTW Mallowdale Dora of Saxaphone",0.375,"url","Caper Cailie's Ohio, Cliff vom Zwillbrocker Venn, IVANTHES FIRST PLOPP, NIINIVUOREN MEREN-SALAISUUS"
"Dolycoed Kate of Drakeshead",0.375,"url","Carson vom Stecknitztal, Limmerhultarna's Solstorm"
"Shavington Betsy of Drakeshead",0.375,"url","Carson vom Stecknitztal, Never change Gasper, Raven vom Tor zur Egge"
"Mallorn's MMM Marabou",0.375,"url","Catch me if you can Happy Carlo, Just Bertha von der Tarpenbek"
"Charway Sally Brown",0.375,"url","Charway Rainstorm, Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley, Ulanda aus dem Burghaus"
"Birdbrook Button",0.375,"url","Chilihunters Game Glen, Mandylike's Porsche, Ravenfly Arielle, Waterfowler Ace"
"Mandylike's Jetty Jellybean",0.375,"url","Chilihunters Over Bridge, Chilihunters Over Trouble, Zetastar Zesty Boy"
"FTCh/IrlFTCh Tasco Dan",0.375,"url","Chilihunters Over Bridge, Chilihunters Over Trouble, Saku (FIN46719/07), Sea-Croft Nimble, Searover Cosys Karo, Searover Easy Sjakk"
"UK Sh Ch Tibblestone The Chorister",0.375,"url","Clausi von der Aacher Haag, Crooked Field Action, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Funny Oskar von Gugi's Kate"
"FI CH Brookhill's Daddy's Hope",0.375,"url","Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Jost vom Settenbeck, Nothing Matters vom Auerswalder Teich, Saskian Xino"
"Follies Olympia",0.375,"url","Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Jost vom Settenbeck, Nothing Matters vom Auerswalder Teich, Saskian Xino"
"Int. Ch Fameflair Amazing Mister",0.375,"url","Clausi von der Aacher Haag, Doro�s Bennet Fellow for Life, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag, Nothing Matters vom Auerswalder Teich"
"FTCh Rocketstar Ciel",0.375,"url","Cliff vom Zwillbrocker Venn, Vauhti-Noudon Vauhtineito"
"VDH-/LCD-CH. Kimvalley Impressive",0.375,"url","Clinton vom Hembeck, Gulliver of Woodpecker's Lane"
"FTCh Leadburn Viceroy",0.375,"url","Cosmic Cover's Mill's Jaywalker, Hh's On Duty Cronos"
"Jill of Everleigh",0.375,"url","Cosmic Cover's Mill's Jaywalker, Kosta Kl�vers Bran, Sea-Croft Kay's Iowa, Splash of Water's Capercaillie, Splash of Water's Grouse, Winning Line's License to Kill"
"AmCH Willcare's Godiva JH",0.375,"url","Country Companion's Choco Pie, Just Bertha von der Tarpenbek"
"Kimvalley Geisha Girl At Wolvercote",0.375,"url","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power"
"Briarglen Lee's Miss Murphy",0.375,"url","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power"
"CH Folklaur Orion Of Talmarc",0.375,"url","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power"
"Briarglen's Hallelujah",0.375,"url","Crooked Field Action, Eternal Friend's Bright Eyes, Faithful Bright Eyes Autumn Love, Jumping Jack's Flash Absolute Power"
"Hussar's Micawber",0.375,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Ulanda aus dem Burghaus"
"Laisa von Ballycorner",0.375,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Ulanda aus dem Burghaus"
"Dt. VDH Ch Sandylands Cover Girl WT, BLP, JEP",0.375,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Ulanda aus dem Burghaus"
"Jenny vom Klingerhuf",0.375,"url","Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof, Ulanda aus dem Burghaus"
"NO JCH SE JCH GB FTCH Blackthorn Briar",0.375,"url","Deep Impact As Nike, Hunting High And Low B'mali, IVANTHES FIRST PLOPP"
"DKBRCH NOJCH SEJCH NORDJCH DKJCH Skovager's Amacing Miguel",0.375,"url","Dimh�jdens Jack Af Barney, Hardrocks Blue Danube"
"Ceh-Thors Akkerbill",0.375,"url","Dimh�jdens Jack Af Barney, Labstratego Yellow River"
"NLCh., LUX Ch Philipstown Artaban",0.375,"url","Donna of Anny's Labs, Doro�s Bennet Fellow for Life, Dumbledore of Anny's Labs"
"Rocheby Shady Night",0.375,"url","Donna of Anny's Labs, Doro�s Bennet Fellow for Life, Dumbledore of Anny's Labs"
"Int Ch Lux Ch, NL Ch Cambremer Royal Musician",0.375,"url","Doro�s Bennet Fellow for Life, Gismo vom G?nsried, Nanni-Nadalina von der Bleiburg"
"Ch Osmine of Lucifers Delight",0.375,"url","Doro�s Bennet Fellow for Life, Flying Flap Ears Duncan, Gismo vom G?nsried"
"FTCh Willowyck Lyn",0.375,"url","Eagle Owl's Osiris, Felice vom Lipperoder Bruch"
"Plummer Kilderkin",0.375,"url","Eagle Owl's Osiris, Felice vom Lipperoder Bruch, Mandylike's Twinkle, Ravenfly Arielle, Searover Day Mackay"
"UK FTCh Shadowbrae Drake",0.375,"url","Eagle Owl's Osiris, Lochmuir Casey, Meadowlark Black Kite, Moorman's Lennie Mirak, SE LCH Streamlight's Ace Leon"
"Trevale Twist",0.375,"url","Felice vom Lipperoder Bruch, Raven vom Tor zur Egge"
"Turramurra Tan",0.375,"url","Felice vom Lipperoder Bruch, Ravenfly Arielle"
"Yebrek Amathyst",0.375,"url","Felice vom Lipperoder Bruch, Ravenfly Arielle"
"FTCh Hamford Dixie of Brindlebay",0.375,"url","Felice vom Lipperoder Bruch, Hillraisins Black Bertha, Never change Gasper, Quickrunners Alan, Quickrunners August"
"GB FTCh & Ir.FTCh Jasamine Star",0.375,"url","Felice vom Lipperoder Bruch, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, SE J(J)CH Hillus Drake, Ravenfly Arielle"
"Oulsmi Calypso",0.375,"url","Fiin Hemuli, Illko Wind in the Willows"
"Blackharn Jasper",0.375,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Wijmas Lilla My, Wijmas Mymlan"
"Raughlin Rebecca",0.375,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Wijmas Lilla My, Wijmas Mymlan"
"Greenwood Dainty",0.375,"url","Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Ravenfly Arielle, Sirmakan Jitterbug"
"UK CH Keysun Krispin of Blondella",0.375,"url","Fulmarus Dumpy Boy, Gismo vom G?nsried, Rosanan White Gold, Shadowvale's Tough Lady Hope"
"Kwinana's Dame Farda",0.375,"url","Fulmarus Dumpy Boy, Usvalinnun Cessi"
"Morningtown Stormette JW",0.375,"url","Fulmarus Dumpy Boy, Gent Fynn from the Old Mansion House, Illko Wind in the Willows, Lauterrinn's Dale Sir Wesley, Rosanan White Gold, Shadowvale's Tough Lady Hope"
"French Dual Champion, Multi Ch Carromer's Charlie Chalk",0.375,"url","Funny Oskar von Gugi's Kate, Omenalaakson Charles For My Love, Water Dancer A Boy Called Boje"
"Kupros Kirsch",0.375,"url","Gismo vom G?nsried, Gwendy's Gandalf, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Wesley"
"GB Sh Ch Newinn Kestrel",0.375,"url","Gismo vom G?nsried, Hof Sommerberg Carlos, Oliver von Obderhalden, Sky Yard's Istvan Imre, Usvalinnun Cessi"
"FTCh Brindlebay Jude",0.375,"url","Gr�fin von Westerholts Kastalia, Perdix Gundogs Englishman in New York"
"FTCh Mansengreen Bizzy of Brindlebay",0.375,"url","Gr�fin von Westerholts Kastalia, Perdix Gundogs Englishman in New York"
"Dt.Ch. Mallorn's Chococrush",0.375,"url","Gr�fin von Westerholts Kastalia, Meta vom Barkendiek"
"Bryndafydd Zeus",0.375,"url","Gulliver of Woodpecker's Lane, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Falk Freddy"
"Trenow Mistress",0.375,"url","Gulliver of Woodpecker's Lane, Hof Sommerberg Carlos, Lauterrinn's Dale Sir Falk Freddy"
"Alice of Hunters Heide",0.375,"url","Gwendy's Gandalf, Hof Sommerberg Carlos"
"Achnagairn Highland Chief",0.375,"url","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
"French Melodie v.'T Meijelicht",0.375,"url","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
"Int. Fr.Ch. Mardas Marine",0.375,"url","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
"Noisette du Bois des Lilas (LOF 100430/19415)",0.375,"url","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof"
"FC AFC MHR Westwind's Bold Tiger NDC",0.375,"url","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof"
"Southland Black-Eyed Susan",0.375,"url","Hanno vom Fallenbergs-Hof, Hedda vom Fallenbergs-Hof, Higgins vom Fallenbergs-Hof, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, Kleo vom Fallenbergs-Hof"
"FTW Hamford Wilfred",0.375,"url","Hardrocks Blue Danube, Kingsdale Meadow Dark, Muschelsucher Clooney"
"Amazing Ragweed of Lubberland",0.375,"url","Hardrocks Blue Danube, Kingsdale Meadow Dark, Muschelsucher Clooney"
"FTCh Simon of Birdbrook",0.375,"url","Hardrocks Blue Danube, Mandylike's Porsche, Sirmakan Jitterbug"
"Rockledge Bramble",0.375,"url","Hardscrabble Augusta, Saskian Xino"
"SE JCH Moorman's Canneloni",0.375,"url","Hillraisins Black Bertha, Huntrets Gott Mos, Limmerhultarna's Solstorm"
"Huntrets Gryt-Bea",0.375,"url","Huntrets Scilla, Zetastar Zesty Boy"
"Qora aus L�hlsbusch",0.375,"url","Iljoscha von der Perle der S�dpfalz, Meta vom Barkendiek"
"GB ShCh Bradking Cassidy",0.375,"url","Illko Wind in the Willows, Lauterrinn's Dale Sir Wesley, Mira von Gugi's Kate, Oliver von Obderhalden, Shadowvale's Tough Lady Hope, Sky Yard's Istvan Imre"
"MultiCH Tsarodej Snowstorm",0.375,"url","Jost vom Settenbeck, Water Dancer A Boy Called Boje"
"Bleekstone November Rain",0.375,"url","Kebrekato Millenium Star, Riverflow Star Pleaser"
"Waterfans Yellow-Camrose",0.375,"url","King von der Bleiburg, Nanni-Nadalina von der Bleiburg"
"HySpire Inky Racer",0.375,"url","Laboriginals Oi Va Voi, Meta vom Barkendiek"
"AmCH Withara's Brodies Souvenir WC",0.375,"url","Laboriginals Oi Va Voi, Meta vom Barkendiek"
"AmCH Winfall's Stormy Sunrise At Banner CGC",0.375,"url","Laboriginals Oi Va Voi, Meta vom Barkendiek"
"INT./DRC-/VDH-CH. BS'86 CS(DRC)'85'86'87  Poolstead Pure Fluke BHP, BLP, JEP",0.375,"url","Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley"
"Asta von der Fasanerie",0.375,"url","Lauterrinn's Dale Sir Falk Freddy, Lauterrinn's Dale Sir Wesley"
"NL Ch Sunny Loch's Kinlochgowrae",0.375,"url","Lauterrinn's Dale Sir Wesley, Shadowvale's Tough Lady Hope, Sky Yard's Istvan Imre"
"Balrion Lady Be Good",0.375,"url","Lauterrinn's Dale Sir Wesley, Sky Yard's Istvan Imre, Ulanda aus dem Burghaus"
"Bj?rag?rdens Twinkleberry",0.375,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo"
"Ilona-Rose",0.375,"url","Lintukarin Armastaipale, LINTUKARIN LASSEVIREN, Muistokas Rollo"
"Poolstead Pre-Eminent",0.375,"url","Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty, Pictorial Cenny"
"Poolstead Prestige",0.375,"url","Ludanies Be Brave, Olina von der Hollen-Hardt, Pictorial Betty, Pictorial Cenny"
"Keness Huntsman",0.375,"url","Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"Ernevale April",0.375,"url","Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"Cleveling Cottager",0.375,"url","Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"Artfield Bess",0.375,"url","Mandylike's Twinkle, NIINIVUOREN MEREN-SALAISUUS, Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO"
"FTW Middlebere Ruby of Gospelash",0.375,"url","Meadowlark Black Kite, Thorsvi Harris, Willowridge Five Star"
"Lakedown Hopper",0.375,"url","Meadowlark Black Kite, Thorsvi Harris, Willowridge Five Star"
"Holdgate Dipper at Birdberi",0.375,"url","Meadowlark Black Kite, Thorsvi Harris, Willowridge Five Star"
"GB FTCh & Ir.FTCh Ulstare Oak",0.375,"url","Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
"FTCh Raughlin Sarah",0.375,"url","Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
"FTW Saffron Seeker",0.375,"url","Meadowlark Marigold, Meadowlark Mr Badger, Wijmas Lilla My, Wijmas Mymlan"
"Drakeshead Will",0.375,"url","Merjatuulian Wekkuli, Muistokas Rollo"
"GB Ch Elowood Soul Singer",0.375,"url","Merjatuulian Wekkuli, Muistokas Rollo, Usvalinnun Cessi"
"Priorise Mysterious",0.375,"url","Merjatuulian Wekkuli, Muistokas Rollo, Usvalinnun Cessi"
"Ch Fameflair Obsession",0.375,"url","Meta vom Barkendiek, Nothing Matters vom Auerswalder Teich"
"FINW-03 Mailiksen Gentleman",0.375,"url","Meta vom Barkendiek, Omenalaakson Charles For My Love"
"Ir FTCh Glendarra Lass",0.375,"url","Namusillan Tammikehr��j�, Wijmas Lilla My, Wijmas Mymlan"
"Tupla-Pummin Sallinak",0.375,"url","NIINIVUOREN KULTA-KUTRI, Vauhti-Noudon Vauhtineito"
"Knighthawk of Glenbriar",0.375,"url","Niinivuoren Pakkas Otto, NIINIVUOREN PAKKAS VAHINKO, Niinivuoren Pakkasenn�tys, NIINIVUOREN PAKKASUKKO, Wijmas Lilla My, Wijmas Mymlan"
"Sh.Ch. Poolstead Pineapple",0.375,"url","Olina von der Hollen-Hardt, Pictorial Betty, Pictorial Cenny"
"FTCh Kathmandu Ruadh of Donian",0.375,"url","Perdix Gundogs Englishman in New York, Pibiz Game Keeper"
"FTW Silversnipe Nitty Gritty",0.375,"url","Perdix Gundogs Englishman in New York, Pibiz Game Keeper"
"Rockdove's Style'n Drive",0.375,"url","Reedsweeper's Desna, S?KH I VATTUMANNEN HUMLE"
"SE JCH Searover Forever",0.375,"url","Reedsweeper's Desna, S?KH I VATTUMANNEN HUMLE"
"NORD JCH Classical Garbi",0.375,"url","Sea-Croft Nimble, Vauhti-Noudon Vauhtineito, Zetastar Zesty Boy"
"SE J (A) CH SE JCH INT JCH Sea-Croft Scilla",0.375,"url","Sea-Croft Nimble, Vauhti-Noudon Vauhtineito"
"Classical Spark-Light",0.375,"url","Splash of Water's Capercaillie, Splash of Water's Grouse, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
"Tuff (son of Black Adder of Clevebourne)",0.375,"url","Splash of Water's Capercaillie, Splash of Water's Grouse, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
"Flaxdale Juniper",0.375,"url","Splash of Water's Capercaillie, Splash of Water's Grouse, Viltv�rdarns Galax, Viltv�rdarns Unika Enya"
"FTCH Lochmuir Josephine of Silversnipe",0.375,"url","Thorsvi Rock Creek, Winning Line's License to Kill"
"Rosebird Viorita Rose",0.375,"url","Thorsvi Rock Creek, Winning Line's License to Kill"
"Sh Ch Cambremer St. Clair",0.3125,"url","Aaron from Elderberry Grove, Rosanan White Gold, Shadowvale's Tough Lady Hope"
"Lawnwood's Hot Pants of Warringah CCW",0.3125,"url","Aaron from Elderberry Grove, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz"
"Int.Ch./Dt.Ch./VDH.Ch. Charway Sea Beaver",0.3125,"url","Aaron from Elderberry Grove, Ulanda aus dem Burghaus"
"WW-94 EE CH FI UCH INT UCH USA CH Bubbling Bedouine",0.3125,"url","Aika vom Steindammer-Forst, Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
"Gowanvale Run A Round",0.3125,"url","Aika vom Steindammer-Forst, Armani Damon vom Asbrookdamm"
"Flanders Pride Zara",0.3125,"url","Aika vom Steindammer-Forst, Armani Damon vom Asbrookdamm"
"Yellowstar (DK 25297/91)",0.3125,"url","Aika vom Steindammer-Forst, Gwendy's Gandalf"
"Bonni vom Hohen Stein",0.3125,"url","Alerich of Trickster Hero, Gismo vom G?nsried, Vigo von der Pfalz, Zlotha-Baba von der Pfalz"
"INTCH DKCH DKBRCH Timspring Sultan",0.3125,"url","Alflasker Barni, Gwendy's Gandalf"
"Dunsinane Loch Lomond",0.3125,"url","Alflasker Barni, As Game As Ermara"
"Curnafane Victoria",0.3125,"url","Alflasker Barni, As Game As Ermara"
"KBHV81 DKCH INTCH Ballyduff Flint",0.3125,"url","Alflasker Barni, Dark Water's Endless Star"
"GB CH/AmCh Ballyduff Seaman",0.3125,"url","Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
"Timspring Myrtle",0.3125,"url","Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
"Wetherlam Sheba",0.3125,"url","Alflasker Barni, Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
"FTCh Sandringham Magpie",0.3125,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Charway Rainstorm, Sirmakan Jitterbug"
"Hedenhampark Mallard",0.3125,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Sirmakan Jitterbug, Willowridge G�sta-Berling"
"UK FTCh Spudtamsons Berry of Mirstan",0.3125,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Charway Rainstorm, Sirmakan Jitterbug"
"FTCh Drakeshead Thorne",0.3125,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Charway Rainstorm, Sirmakan Jitterbug"
"Angeltown Chalcedory Dona",0.3125,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Merjatuulian Wekkuli, Sirmakan Jitterbug"
"FTCh Angeltown's Black Saphire",0.3125,"url","Amamus Pica-Pica, Bj�ragardens Timmy-Willie, Hunting High And Low B'mali"
"Arrak (S22751/64)",0.3125,"url","Amamus Pica-Pica, Merjatuulian Wekkuli, Sirmakan Jitterbug, Willowridge G�sta-Berling"
"NORDUCH INTUCH SJCH Knalles Othello",0.3125,"url","Amamus Pica-Pica, Dirk von Stieg"
"GB SH CH Covetwood Elouise of Carpenny",0.3125,"url","Angel of Hope Arik, Hardscrabble Augusta, Riverflow Star Pleaser, Saskian Xino"
"Birchbrook Plum Pudding",0.3125,"url","Angel of Hope Arik, Cassiopeia vom Hof F?rst, Double Rainbow vom Stuckenbuscher Wald, Fancyful Tramp Charly Brown"
"Bubbling Claire De Lune",0.3125,"url","Angel of Hope Arik, King von der Bleiburg, Meta vom Barkendiek, Nanni-Nadalina von der Bleiburg"
"C.C.W. Stormley Craftsman at Ludzska",0.3125,"url","Angel of Hope Arik, Armani Damon vom Asbrookdamm, Fiin Hemuli, Illko Wind in the Willows"
"Simandem Sultan",0.3125,"url","Angel of Hope Arik, Grages Annalouisa"
"Tyton Mistress Mercutio of Jimjoy",0.3125,"url","Angel of Hope Arik, Grages Annalouisa"
"Dancing Jester",0.3125,"url","Angel of Hope Arik, Grages Annalouisa"
"Gingies Truffle",0.3125,"url","Angel of Hope Arik, Grages Annalouisa"
"Winner Belgien '99 Little-Ben du Taillis Madame",0.3125,"url","Angel of Hope Arik, Grages Annalouisa"
"Brookland-Rosefair Seabreeze",0.3125,"url","Angel of Hope Arik, Grages Annalouisa"
"Ir.FTCh Gary of Clonbara",0.3125,"url","Anthony Kenneth from Grannies Garden, Deep Impact As Nike, Kingsdale Meadow Dark"
"Lili Marlene",0.3125,"url","Anthony Kenneth from Grannies Garden, Clausi von der Aacher Haag, DE (VDH)CH Elsa von der Aacher Haag, Enno von der Aacher Haag"
"Naiken Dazzling Daisi",0.3125,"url","Armani Damon vom Asbrookdamm, Clausi von der Aacher Haag, Crooked Field Action"
"Am/Can CH Banner's Muskelunge Buckeye",0.3125,"url","Armani Damon vom Asbrookdamm, Catch me if you can Happy Carlo, Just Bertha von der Tarpenbek"
"Dk.Ch Gilh�j's Moster Molly",0.3125,"url","Armani Damon vom Asbrookdamm, As Game As Ermara, Hardrocks Blue Danube"
"FTCh Kenswick Hamish",0.3125,"url","Bj�ragardens Timmy-Willie, Chilihunters Game Glen, SE J(J)CH Hillus Drake, Willowridge G�sta-Berling"
"Hirsipirtin Kasino",0.3125,"url","Black Bet's Gillie, Brookhill's Crabman"
"FIUCH Mallards Caddis Cased",0.3125,"url","Black Bet's Gillie, Brookhill's Crabman"
"FIN Ch Hirsipirtin Gummiseta",0.3125,"url","Black Bet's Gillie, Brookhill's Crabman, Fulmarus Dumpy Boy"
"SUCH NUCH Ballyduff Fergus",0.3125,"url","Black Bet's Gillie, Hunting High And Low B'mali, Muistokas Rollo, Usvalinnun Asterix"
"AmCH Hunt Club Clayview Brown Derby",0.3125,"url","Black Hamlet L for Lake Shasta, Country Companion's Choco Pie, Just Bertha von der Tarpenbek"
"Lubberline Chocolate Factory",0.3125,"url","Black Hamlet L for Lake Shasta, Country Companion's Choco Pie, Just Bertha von der Tarpenbek"
"Wiscoy Talimar Marina",0.3125,"url","Black Hamlet L for Lake Shasta, Just Bertha von der Tarpenbek, Saskian Xino"
"CH.NOR Birchbrook Barley Wine of Charway",0.3125,"url","Black Hamlet L for Lake Shasta, Fancyful Tramp Charly Brown, Saskian Xino"
"FI UCH Loresho Ozzie",0.3125,"url","Black Hamlet L for Lake Shasta, Catch me if you can Happy Carlo, Fancyful Tramp Charly Brown, Just Bertha von der Tarpenbek"
"Lawnwood Fandango",0.3125,"url","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
"Lawnwoods Starglow",0.3125,"url","Blacky vom Alst�tter-Moor, Bundy vom Hof Ibn Safinaz, Lauterrinn's Dale Sir Wesley"
"GB ShCh Astonbrook Crusader",0.3125,"url","Brookhill's Crabman, Gismo vom G?nsried, Gulliver of Woodpecker's Lane, Shadowvale's Tough Lady Hope"
"Follytower Storming Lass",0.3125,"url","Brookhill's Crabman, Gismo vom G?nsried, Gulliver of Woodpecker's Lane, Shadowvale's Tough Lady Hope"
"SE UCH Cassatas Chivas-Regal",0.3125,"url","Cannonpowder Penelope, Dark Water's Endless Star, Fiin Hemuli"
"CH Beechcroft's Trifolium",0.3125,"url","Cannonpowder Penelope, Dark Water's Endless Star, Fiin Hemuli, Judges Choice Cross my Heart"
"FTW Ashbrooke Alfie",0.3125,"url","Caper Cailie's Ohio, Flying Flap Ears Duncan, Flying Flap Ears Ice Age, Wijmas Lilla My, Wijmas Mymlan"
"Styleside Semola",0.3125,"url","Carson vom Stecknitztal, G�salyckans Gary Cooper, G�salyckans Handsome Boy, Limmerhultarna's Solstorm"
"IrlFTCH  Raughlin Rose",0.3125,"url","Carson vom Stecknitztal, Clinton vom Hembeck, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl"
"Glenloch Snipe",0.3125,"url","Carson vom Stecknitztal, Hunting High And Low B'mali, Searover Ruffling Thea, Streamlight's Pearl Sandy, Viltv�rdarns Galax"
"Ch DK, EW Dry Creek Den-Mark",0.3125,"url","Cassiopeia vom Hof F?rst, Yes we can Flic in France"
"Fieldvalley's Fabianco",0.3125,"url","Cassiopeia vom Hof F?rst, Iljoscha von der Perle der S�dpfalz, Junker vom H�lser Bruch, Jytte Jenna vom H�lser Bruch, King von der Bleiburg"
"Int. Ch. Blondella Buttons'n Bows",0.3125,"url","Cassiopeia vom Hof F?rst, Illko Wind in the Willows, Mira von Gugi's Kate"
"GB Ch Abbeystead Herons Court",0.3125,"url","Charway Rainstorm, Gent Fynn from the Old Mansion House"
"FTCh Palgrave Holly",0.3125,"url","Charway Rainstorm, Chilihunters Game Glen, Viltv�rdarns Galax, Willowridge G�sta-Berling"
"FTCh/IrlFTCh Derryboy Daniel",0.3125,"url","Charway Rainstorm, Floyd vom Hirschth�rl, Flynn vom Hirschth�rl, Quickrunners Alan, Quickrunners August"
"FTCh Barnavara Chub",0.3125,"url","Chilihunters Pro Hazy, Deep Impact As Nike, Namusillan Tammikehr��j�, Reedsweeper's Desna, Waterfowler Ace"
"Shadden Dale",0.3125,"url","Chilihunters Pro Hazy, Deep Impact As Nike, Namusillan Tammikehr��j�, Reedsweeper's Desna, Waterfowler Ace"
"Lenches Personality",0.3125,"url","Clausi von der Aacher Haag, Crooked Field Action, Daisy vom Bosselbacherhof, Dolly vom Bosselbacherhof"
"FTW Jacob Bogdani of Leadburn",0.3125,"url","Cliff vom Zwillbrocker Venn, Moorman's Lennie Mirak, Quickrunners Alan, Quickrunners August"
